Year,Month,Com.Scheduled Int,Com.Scheduled Dom,Com.Non-Scheduled Int,Com.Non-Scheduled Dom,Private Int,Private Dom,Military Int,Military Dom,Tot Excl. Military/civil,Tot Incl. Military/civil,Tot International,Tot Domestic,Total
1992,1,735,1417,245,977,722,2043,264,7912,6139,14315,1702,4436,6139
1992,2,770,1483,256,1022,756,2138,276,8282,6426,14984,1782,4644,6426
1992,3,40,77,13,53,39,111,14,429,332,775,92,240,332
1992,4,1617,3115,539,2147,1587,4490,579,17392,13494,31465,3742,9751,13494
1992,5,867,1671,289,1151,851,2408,311,9329,7238,16877,2007,5231,7238
1992,6,148,286,50,197,146,412,53,1597,1239,2890,344,896,1239
1992,7,902,1738,300,1197,886,2505,323,9703,7528,17554,2088,5440,7528
1992,8,102,197,34,136,100,284,37,1100,854,1991,237,617,854
1992,9,917,1766,305,1217,900,2546,329,9861,7650,17840,2122,5529,7650
1992,10,896,1726,298,1189,879,2487,321,9635,7475,17431,2073,5402,7475
1992,11,770,1484,257,1023,756,2139,276,8287,6429,14992,1783,4646,6429
1992,12,1352,2604,450,1795,1327,3754,484,14541,11282,26307,3129,8153,11282
1993,1,704,964,259,852,711,1850,190,6182,5340,11712,1674,3666,5340
1993,2,797,1091,293,964,805,2093,215,6994,6042,13250,1894,4147,6042
1993,3,493,675,181,597,498,1295,133,4329,3739,8201,1173,2567,3739
1993,4,254,348,93,308,257,668,69,2233,1929,4231,605,1324,1929
1993,5,703,962,258,851,710,1846,189,6170,5330,11689,1671,3659,5330
1993,6,477,653,175,577,482,1252,128,4186,3616,7930,1134,2482,3616
1993,7,758,1038,279,918,766,1992,204,6657,5751,12612,1803,3948,5751
1993,8,1643,2248,604,1988,1659,4314,442,14418,12455,27316,3905,8550,12455
1993,9,141,194,52,171,143,371,38,1241,1072,2351,336,736,1072
1993,10,1020,1396,375,1234,1031,2679,275,8956,7736,16966,2426,5310,7736
1993,11,241,330,89,291,243,632,65,2114,1826,4005,573,1253,1826
1993,12,2440,3339,896,2952,2464,6407,657,21414,18498,40570,5800,12698,18498
1994,1,268,300,142,495,307,679,75,2240,2191,4507,718,1474,2191
1994,2,905,1012,481,1669,1036,2293,255,7559,7395,15210,2422,4974,7395
1994,3,558,623,296,1028,639,1413,157,4658,4557,9372,1492,3065,4557
1994,4,67,75,36,124,77,170,19,560,548,1127,179,368,548
1994,5,896,1002,476,1653,1026,2270,252,7485,7322,15059,2398,4924,7322
1994,6,848,948,451,1565,971,2149,239,7085,6932,14256,2270,4662,6932
1994,7,223,249,118,411,255,565,63,1861,1821,3745,596,1225,1821
1994,8,3446,3853,1831,6358,3947,8733,971,28792,28167,57930,9224,18943,28167
1994,9,1151,1287,611,2123,1318,2916,324,9615,9407,19346,3080,6326,9407
1994,10,61,68,32,112,70,154,17,508,497,1022,163,334,497
1994,11,883,987,469,1629,1011,2237,249,7377,7217,14842,2363,4854,7217
1994,12,957,1070,509,1766,1096,2426,270,7999,7826,16094,2563,5263,7826
1995,1,667,1040,398,1214,705,1397,212,5100,5420,10733,1769,3651,5420
1995,2,801,1250,478,1459,847,1679,255,6129,6513,12898,2126,4388,6513
1995,3,523,816,312,952,553,1096,166,4000,4251,8417,1387,2863,4251
1995,4,2075,3239,1238,3779,2194,4350,660,15881,16876,33418,5508,11369,16876
1995,5,757,1182,452,1379,801,1587,241,5794,6157,12191,2009,4148,6157
1995,6,304,475,181,554,321,638,97,2327,2473,4896,807,1666,2473
